CountryCode,SeriesCode,DESCRIPTION
"ARM","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population. The number of refugees or persons in refugee-like situations as reported by the Office of the United Nations High Commissioner for Refugees (UNHCR) or, where appropriate, the United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA) were added to the 2 estimates."
"ARM","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects"
"ARM","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects"
"ARM","SP.POP.TOTL","Data source: United Nations World Population Prospects"
"ARM","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects"
"ARM","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects"
"ARM","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects"
"ARM","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects"
"ARM","IT.NET.USER.ZS","Ministry of Transport and Communications."
"ARM","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects"
"ARM","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects"
"ASM","SP.DYN.CDRT.IN","Data source: United Nations Population and Vital Statistics Report"
"ASM","SP.POP.TOTL","Data source: United Nations World Population Prospects"
"ASM","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population."
"ASM","IT.NET.USER.ZS","American Samoa Telecommunications Authority."
"ASM","SP.DYN.CBRT.IN","Data source: United Nations Population and Vital Statistics Report"
"ATG","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population."
"ATG","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects"
"ATG","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects"
"ATG","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects"
"ATG","SP.DYN.CDRT.IN","Data source: United Nations Population and Vital Statistics Report"
"ATG","IT.NET.USER.ZS","Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel."
"ATG","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects"
"ATG","SP.DYN.CBRT.IN","Data source: United Nations Population and Vital Statistics Report"
"ATG","SP.POP.TOTL","Data source: United Nations World Population Prospects"
"ATG","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects"
"ATG","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects"
"AUS","SP.DYN.AMRT.MA","Data source: HMD. Human Mortality Database. Max Planck Institute for Demographic Research (Germany), University of California, Berkeley (USA), and French Institute for Demographic Studies (France). Available at www.mortality.org."
"AUS","SP.POP.AG03.MA.IN","Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island."
"AUS","SP.DYN.LE00.IN","Derived using male and female life expectancy"
"AUS","SP.DYN.TFRT.IN","Data source: Australian Bureau of Statistics"
"AUS","SP.POP.AG04.FE.IN","Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island."
"AUS","SP.DYN.CBRT.IN","Data source: Australian Bureau of Statistics"
"AUS","SP.POP.TOTL","Data source: Australian Bureau of Statistics"
"AUS","SP.POP.AG04.MA.IN","Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island."
"AUS","SG.POP.MIGR.FE.ZS","Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island. Estimates were derived from data on the foreign-born population."
"AUS","SP.POP.TOTL.FE.ZS","Including Other Territories comprising Jervis Bay Territory, Christmas Island and the Cocos (Keeling) Islands. "
"AUS","SH.MMR.LEVE","Paid parental leave is available"
"AUS","SP.DYN.LE00.FE.IN","Data source: Australian Bureau of Statistics"
"AUS","SP.POP.AG00.FE.IN","Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island."
"AUS","SP.POP.AG03.FE.IN","Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island."
"AUS","SP.POP.AG02.MA.IN","Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island."
"AUS","SP.DYN.LE00.MA.IN","Data source: Australian Bureau of Statistics"
"AUS","SP.DYN.AMRT.FE","Data source: HMD. Human Mortality Database. Max Planck Institute for Demographic Research (Germany), University of California, Berkeley (USA), and French Institute for Demographic Studies (France). Available at www.mortality.org."
"AUS","SP.DYN.TO65.FE.ZS","Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island."
"AUS","SP.POP.AG02.FE.IN","Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island."
"AUS","IT.NET.USER.ZS","Australian Department of Broadband, Communications and the Digital Economy (DBCDE)."
"AUS","SP.DYN.CDRT.IN","Data source: Australian Bureau of Statistics"
"AUS","SP.POP.AG05.FE.IN","Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island."
"AUS","SP.POP.0014.TO.ZS","Including Other Territories comprising Jervis Bay Territory, Christmas Island and the Cocos (Keeling) Islands. "
"AUS","SP.POP.AG00.MA.IN","Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island."
"AUS","SP.ADO.TFRT","Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island."
"AUS","SP.POP.BRTH.MF","Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island."
"AUS","SP.POP.1564.TO.ZS","Including Other Territories comprising Jervis Bay Territory, Christmas Island and the Cocos (Keeling) Islands. "
"AUS","SP.POP.AG05.MA.IN","Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island."
"AUS","SP.DYN.TO65.MA.ZS","Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island."
"AUS","SP.POP.AG01.FE.IN","Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island."
"AUS","SP.POP.65UP.TO.ZS","Including Other Territories comprising Jervis Bay Territory, Christmas Island and the Cocos (Keeling) Islands. "
"AUS","SP.POP.AG01.MA.IN","Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island."
"AUT","SP.DYN.LE00.MA.IN","Data source: Eurostat, Statistics Austria"
"AUT","SP.POP.TOTL","Data source: Eurostat, Statistics Austria"
"AUT","SP.DYN.AMRT.MA","Data source: HMD. Human Mortality Database. Max Planck Institute for Demographic Research (Germany), University of California, Berkeley (USA), and French Institute for Demographic Studies (France). Available at www.mortality.org."
"AUT","SP.DYN.TFRT.IN","Data source: Eurostat, Statistics Austria"
"AUT","SP.DYN.LE00.FE.IN","Data source: Eurostat, Statistics Austria"
"AUT","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population."
"AUT","SP.DYN.CDRT.IN","Data source: Eurostat"
"AUT","SP.DYN.AMRT.FE","Data source: HMD. Human Mortality Database. Max Planck Institute for Demographic Research (Germany), University of California, Berkeley (USA), and French Institute for Demographic Studies (France). Available at www.mortality.org."
"AUT","IT.NET.USER.ZS","Until 2001: Federal Ministry for Science and Transport. Austrian Regulatory Authority for Broadcasting and Telecommunications (RTR-GmbH)."
"AUT","SP.DYN.LE00.IN","Derived using male and female life expectancy"
"AUT","SP.DYN.CBRT.IN","Data source: Eurostat"
"AZE","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects"
"AZE","SG.POP.MIGR.FE.ZS","Including Nagorno-Karabakh. Estimates were derived from data on the foreign-born population. The number of refugees or persons in refugee-like situations as reported by the Office of the United Nations High Commissioner for Refugees (UNHCR) or, where appropriate, the United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA) were added to the 2 estimates."
"AZE","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects. Including Nagorno-Karabakh."
"AZE","SP.POP.AG00.MA.IN","Including Nagorno-Karabakh."
"AZE","SP.DYN.CDRT.IN","Data source: State Statistical Committee, United Nations World Population Prospects"
"AZE","SP.ADO.TFRT","Including Nagorno-Karabakh."
"AZE","SP.DYN.TO65.FE.ZS","Including Nagorno-Karabakh."
"AZE","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects"
"AZE","SP.POP.BRTH.MF","Including Nagorno-Karabakh."
"AZE","SP.DYN.TO65.MA.ZS","Including Nagorno-Karabakh."
"AZE","SP.POP.AG01.MA.IN","Including Nagorno-Karabakh."
"AZE","SP.POP.AG05.MA.IN","Including Nagorno-Karabakh."
"AZE","SP.POP.AG05.FE.IN","Including Nagorno-Karabakh."
"AZE","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects. Including Nagorno-Karabakh."
"AZE","SP.POP.AG01.FE.IN","Including Nagorno-Karabakh."
"AZE","SP.POP.AG02.FE.IN","Including Nagorno-Karabakh."
"AZE","SP.POP.AG02.MA.IN","Including Nagorno-Karabakh."
"AZE","IT.NET.USER.ZS","Ministry of Communications and Information Technologies."
"AZE","SP.POP.AG03.FE.IN","Including Nagorno-Karabakh."
"AZE","SP.POP.AG00.FE.IN","Including Nagorno-Karabakh."
"AZE","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects"
"AZE","SP.POP.AG04.MA.IN","Including Nagorno-Karabakh."
"AZE","SP.POP.AG03.MA.IN","Including Nagorno-Karabakh."
"AZE","SP.POP.TOTL","Data source: Eurostat, State Statistical Committee."
"AZE","SP.DYN.TFRT.IN","Data source: State Statistical Committee, Eurostat, United Nations World Population Prospects"
"AZE","SP.POP.AG04.FE.IN","Including Nagorno-Karabakh."
"AZE","SP.DYN.CBRT.IN","Data source: State Statistical Committee, United Nations World Population Prospects"
"BDI","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects"
"BDI","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects"
"BDI","IT.NET.USER.ZS","Until 2001: Office National des Télécommunications (ONATEL). Agence de Régulation et de Contrôle des Télécommunications."
"BDI","SP.POP.TOTL","Data source: United Nations World Population Prospects"
"BDI","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects"
"BDI","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects"
"BDI","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects"
"BDI","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects"
"BDI","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects"
"BDI","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects"
"BDI","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population. The number of refugees or persons in refugee-like situations as reported by the Office of the United Nations High Commissioner for Refugees (UNHCR) or, where appropriate, the United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA) were added to the 2 estimates."
"BEL","SP.DYN.LE00.IN","Derived using male and female life expectancy"
"BEL","SP.DYN.TFRT.IN","Data source: Eurostat, Statistics Belgium"
"BEL","SP.POP.TOTL","Data source: Eurostat"
"BEL","SP.DYN.CBRT.IN","Data source: Eurostat, Statistics Belgium"
"BEL","VC.IHR.PSRC.P5","Data refer to offences, not victims, of intentional homicide."
"BEL","SP.DYN.AMRT.FE","Data source: HMD. Human Mortality Database. Max Planck Institute for Demographic Research (Germany), University of California, Berkeley (USA), and French Institute for Demographic Studies (France). Available at www.mortality.org."
"BEL","IT.NET.USER.ZS","Institut belge des services postaux et des télécommunications (IBPT)."
"BEL","SP.DYN.LE00.MA.IN","Data source: Eurostat, Statistics Belgium"
"BEL","SP.DYN.LE00.FE.IN","Data source: Eurostat, Statistics Belgium"
"BEL","SP.DYN.CDRT.IN","Data source: Eurostat, Statistics Belgium"
"BEL","SP.DYN.AMRT.MA","Data source: HMD. Human Mortality Database. Max Planck Institute for Demographic Research (Germany), University of California, Berkeley (USA), and French Institute for Demographic Studies (France). Available at www.mortality.org."
"BEL","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population."
"BEN","SP.POP.TOTL","Data source: United Nations World Population Prospects"
"BEN","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects"
"BEN","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects"
"BEN","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects"
"BEN","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects"
"BEN","SG.POP.MIGR.FE.ZS","Estimates were derived from data on foreign citizens. Estimates were derived from data on the foreign-born population. The number of refugees or persons in refugee-like situations as reported by the Office of the United Nations High Commissioner for Refugees (UNHCR) or, where appropriate, the United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA) were added to the 2 estimates."
"BEN","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects"
"BEN","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects"
"BEN","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects"
"BEN","IT.NET.USER.ZS","Office des Postes et Télécommunications (OPT)."
"BEN","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects"
"BFA","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects"
"BFA","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects"
"BFA","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects"
"BFA","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects"
"BFA","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects"
"BFA","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects"
"BFA","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population. The number of refugees or persons in refugee-like situations as reported by the Office of the United Nations High Commissioner for Refugees (UNHCR) or, where appropriate, the United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA) were added to the 2 estimates."
"BFA","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects"
"BFA","IT.NET.USER.ZS","Office National des Télécommunications (ONATEL). 1997-2000: Direction Générale de l'Office National des Télécommunications."
"BFA","SP.POP.TOTL","Data source: United Nations World Population Prospects"
"BFA","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects"
"BGD","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects"
"BGD","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects"
"BGD","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects"
"BGD","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects"
"BGD","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects"
"BGD","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects"
"BGD","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population. The number of refugees or persons in refugee-like situations as reported by the Office of the United Nations High Commissioner for Refugees (UNHCR) or, where appropriate, the United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA) were added to the 2 estimates."
"BGD","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects"
"BGD","IT.NET.USER.ZS","Bangladesh Telegraph and Telephone Board. From 2002: Bangladesh Telecommunication Regulatory Commission."
"BGD","SG.GEN.PARL.ZS","In 2004, the number of seats in parliament was raised from 300 to 345, with the addition of 45 reserved seats for women. These reserved seats were filled in September and October 2005, being allocated to political parties in proportion to their share of the national vote received in the 2001 election. 
The parliament was dissolved on 27 October 2006, in view of elections that are yet to take place. Women held 52 of the 345 seats (15%) in the outgoing parliament. 
45 reserved seats reserved for women are yet to be filled in 2008."
"BGD","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects"
"BGD","SP.POP.TOTL","Data source: United Nations World Population Prospects"
"BGR","SP.DYN.AMRT.FE","Data source: HMD. Human Mortality Database. Max Planck Institute for Demographic Research (Germany), University of California, Berkeley (USA), and French Institute for Demographic Studies (France). Available at www.mortality.org."
"BGR","SP.DYN.LE00.IN","Derived using male and female life expectancy"
"BGR","SP.DYN.LE00.MA.IN","Data source: Eurostat, National Statistical Institute"
"BGR","SP.DYN.CDRT.IN","Data source: Eurostat, National Statistical Institute"
"BGR","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population."
"BGR","SP.DYN.CBRT.IN","Data source: Eurostat, National Statistical Institute"
"BGR","IT.NET.USER.ZS","Bulgarian Telecommunications Company Ltd. From 2002: Communications Regulation Commission."
"BGR","SP.DYN.TFRT.IN","Data source: Eurostat, National Statistical Institute"
"BGR","SP.DYN.AMRT.MA","Data source: HMD. Human Mortality Database. Max Planck Institute for Demographic Research (Germany), University of California, Berkeley (USA), and French Institute for Demographic Studies (France). Available at www.mortality.org."
"BGR","SP.POP.TOTL","Data source: Eurostat"
"BGR","SP.DYN.LE00.FE.IN","Data source: Eurostat, National Statistical Institute"
"BHR","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects"
"BHR","SG.POP.MIGR.FE.ZS","Estimates were derived from data on foreign citizens."
"BHR","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects"
"BHR","SP.POP.TOTL","Data source: United Nations World Population Prospects"
"BHR","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects"
"BHR","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects"
"BHR","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects"
"BHR","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects"
"BHR","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects"
"BHR","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects"
"BHR","IT.NET.USER.ZS","Bahrain Telecommunications Company. From 2004: Telecommunications Regulatory Authority (TRA)."
"BHS","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population."
"BHS","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects"
"BHS","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects"
"BHS","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects"
"BHS","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects"
"BHS","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects"
"BHS","SP.POP.TOTL","Data source: United Nations World Population Prospects"
"BHS","IT.NET.USER.ZS","Batelco, Bahamas Telecommunications Corporation."
"BHS","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects"
"BHS","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects"
"BHS","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects"
"BIH","SP.POP.TOTL","Data source: United Nations World Population Prospects"
"BIH","IT.NET.USER.ZS","Public Enterprise PTT Bosnia and Herzegovina (PTT BIH). From 2002: Communications Regulatory Agency B & H."
"BIH","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects"
"BIH","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects"
"BIH","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects"
"BIH","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects"
"BIH","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects"
"BIH","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects"
"BIH","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects"
"BIH","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects"
"BIH","SG.POP.MIGR.FE.ZS","There were no data on international migrants for the country or area concerned and that the estimates presented were imputed. The number of refugees or persons in refugee-like situations as reported by the Office of the United Nations High Commissioner for Refugees (UNHCR) or, where appropriate, the United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA) were added to the 2 estimates."
"BLR","SP.POP.TOTL","Data source: National Statistical Committee of the Republic of Belarus, Eurostat"
"BLR","IT.NET.USER.ZS","Beltelecom. From 2003: Ministry of Communications and Informatization."
"BLR","SP.DYN.LE00.IN","Derived using male and female life expectancy"
"BLR","SP.DYN.AMRT.MA","Data source: HMD. Human Mortality Database. Max Planck Institute for Demographic Research (Germany), University of California, Berkeley (USA), and French Institute for Demographic Studies (France). Available at www.mortality.org."
"BLR","SP.DYN.CBRT.IN","Data source: Eurostat, TransMONEE, United Nations World Population Prospects"
"BLR","SP.DYN.TFRT.IN","Data source: Eurostat, National Statistical Committee of the Republic of Belarus, United Nations World Population Prospects"
"BLR","SP.DYN.AMRT.FE","Data source: HMD. Human Mortality Database. Max Planck Institute for Demographic Research (Germany), University of California, Berkeley (USA), and French Institute for Demographic Studies (France). Available at www.mortality.org."
"BLR","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population."
"BLR","SP.DYN.CDRT.IN","Data source: Eurostat, TransMONEE, United Nations World Population Prospects"
"BLR","SP.DYN.LE00.FE.IN","Data source: National Statistical Committee of the Republic of Belarus; United Nations World Population Prospects"
"BLR","SP.DYN.LE00.MA.IN","Data source: National Statistical Committee of the Republic of Belarus; United Nations World Population Prospects"
"BLZ","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects"
"BLZ","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects"
"BLZ","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects"
"BLZ","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects"
"BLZ","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects"
"BLZ","IT.NET.USER.ZS","Belize Telecommunications Ltd (BTL)."
"BLZ","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects"
"BLZ","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population. The number of refugees or persons in refugee-like situations as reported by the Office of the United Nations High Commissioner for Refugees (UNHCR) or, where appropriate, the United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA) were added to the 2 estimates."
"BLZ","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects"
"BLZ","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects"
"BLZ","SP.POP.TOTL","Data source: United Nations World Population Prospects"
"BMU","IT.NET.USER.ZS","The Bermuda Telephone Company Limited (Bermuda Telephone). From 2001: Ministry of Energy,Telecommunications and E-Commerce; Dept of Telecommunications"
"BMU","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects"
"BMU","SP.DYN.CDRT.IN","Data source: Bermuda Government Department of Statistics, United Nations Population and Vital Statistics Report"
"BMU","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects"
"BMU","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population."
